250919360668|250101|입금|250919360668|5000000
251025701407|250101|출금|250919360668|111
250919360668|250103|출금|250103930461|100000|적금계좌
250919360668|250203|출금|250103930461|100000|적금계좌
250919360668|250303|출금|250103930461|100000|적금계좌
250919360668|250403|출금|250103930461|100000|적금계좌
250919360668|250503|출금|250103930461|100000|적금계좌
250919360668|250603|출금|250103930461|100000|적금계좌
250919360668|250703|출금|250103930461|100000|적금계좌
250919360668|250803|출금|250103930461|100000|적금계좌
250919360668|250903|출금|250103930461|100000|적금계좌
250919360668|251003|출금|250103930461|100000|적금계좌
250919360668|251103|출금|250103930461|100000|적금계좌
250919360668|251203|출금|250103930461|100000|적금계좌
